,Тип,Назначение,Материал,Мотор,Частота переключения,Рабочее напряжение,Шаг регулировки,Ёмкость аккумулятора,Время подзарядки,Время работы,Разъем для зарядки,Ход толкателя,Ход иглы,Длина,Диаметр,Вес,Гарантия,Производитель,Название,Цена,Ссылка,Фотография,Модель,Вольтаж,Ход толкателя (Stroke),Вылет иглы,Время зарядки,Тип аккумулятора,Память,Функция Jump-start,Таймер,Дисплей,Выходное напряжение,Шаг регулировки вольтажа,Емкость аккумулятора,Jump Start,Разъём для подключения,Размер,Производcтво,Назначение машинки,Обороты в минуту,Разъём для зарядки,Размеры с аккумулятором,Размеры с RCA переходником,Производство,Двигатель,Скорость,Рекомендуемое напряжение,Время работы на одном аккумуляторе,Размер машинки без аккумулятора,Размер машинки с аккумулятором,Вес без аккумулятора,Вес с аккумулятором,Частота,SMP,Вес машинки,Вес коробки,Размеры коробки,Подключение,Размеры,Цвет,Ход толкателя регулируемый,Bluetooth,Рабочий вольтаж,Длина хода,Вес батареи,Цвет машинки,Особенность,Jump-Start,Разъем для подключения,Высота,Разъём,Ход бойка,Материал рамы,Ход толкателя (Strokes),Назначения,Рабочая частота удара,Обороты,Диаметр x Длинна,Диаметр x Длина,Соединение,Разъем,Емкость,Модель машины,Потребляемая мощность,Диаметр держателей,Размер коробки,Ход поршня,Рабочая частота,Диаметр держателя,Ход толкателя (Strokes) регулируемый,Диаметр ручки,Длина ручки,Для контурных работ,Для закраса/теней,Крутящий момент,Время полной зарядки,Длина машинки,Размер кейса,Вес кейса,Номинальный крутящий момент,Стартовое напряжение по умолчанию,Количество уровней регулировки вольтажа,Ёмкость аккумуляторов,Вес машинки с батареей,Батареи,Частота удара,Длина машинки с RCA адаптером,Вес машинки с RCA адаптером,Регулировка вольтажа с шагом,Время работы на 1 батарейке,Вес с батарейкой,Время работы на 1 аккумуляторе,Длинна,Строк,Корпус,Покрытие рамы,Модель машинки,Вход для зарядки,Тип батареи,Номинальная емкость аккумулятора,Вес без батарейки,Мощность мотора,"Спроектировано в США.

В комплекте",Система привода,Вылет иглы в зависимости от картриджей,Размер машинки,Регулировка с шагом,Значение в децибелах,Значение вибрации,Размер двигателя,Мощность двигателя,Длина хода (Strokes),Система двойного управления,Ход толкателя Strokes регулируемый,Мощность,Экран,Время работы на аккумуляторе,Регулируемый ход толкателя,Вес вместе с коробкой,Держатели,Привод,Емкость батареек,Тип батарейки,Размер батарейки,Диаметр машинки,Вес машинки с батарейкой,Батарея,Емкость АКБ,Держатель,Ход толкателя регулируемый Strokes,Частота вращения,Макс обороты,Ход толкателя регулируемый (Stroke),Емкость блока питания,Jump-start,Длина с блоком,Длина с RCA,Вес машинки с блоком,Вес машинки с RCA,Напряжение зарядки,Ход толкателя (Stroke) регулируемый,Вес без батарейкой,Уникальность,Ход толкателя регулируемый (Strokes),Мощность Двигателя,Ход толкателя Strokes,Время зарядки от разъема,АКБ,Вес с кейсом,Рама,- Модель,Вес машинки без батарейки,Вес машинки батарейкой,Габариты коробки,Частотный режим,Точечный режим,Вес с держателем 32мм,Вес с держателем 40мм,Xод иглы,Пусковое напряжение,Размер машинки с RCA адаптером,Вес с RCA адаптером,Для контура,Для закраса,Xод толкателя,Разъём подключения,Ход,Рекомендованный рабочий вольтаж,Память режимов,Ход толкателя (строк),Ёмкость аккумуляторов машинки,Ёмкость аккумулятора педали,Время работы максимум (при 5В),Время работы минимум (при 11В),Длина машины вместе с аккумулятором,Особенности,Диапазон игл,Рекомендуемый вольтаж,Размеры машинки,Длина с RCA переходником,Вес с блоком,Вес с RCA переходником,Диаметр в нижней части,Диаметр в верхней части,Длина машинки с блоком,Ход толкателя Stroke,Входное напряжение,Режим зарядки,Цикл полной зарядки,Частота вращения двигателя,Напряжение батареи,Вес с аккумулятором,Об/мин,Частота переключателя,Шаг регулировки переключаемый,"минимальная вибрация.

Основные особенности",Шаг,Регулируемый ход игл,Короткий ход,Выходная мощность,Общее время работы,Длина (без картриджа),Диаметр корпуса,Вес (без держателя),Вес с держателем (PMU),Разъем для зарядки,Регулировка частоты ударов,Ёмкость аккумулятора машинки,Ход толкатея,Габариты,Вес машинки с аккумулятором,Ёмкость съёмных аккумуляторов по,Длинна с аккумулятором,Длинна с разъёмом RCA,Диаметр в нижней части ручки,Вес с разъёмом RCA,Размер коробкм,Длинна с переходником RCA,Длина с переходником RCA,Длина с аккумулятором,Вес машинки с держателем,Сменные эксцентрики с ходом,Moтор,Об / мин,Выступ иглы,Емкость батареи,Рабочее время Powerpack,Гарантия на блок питания,В комплекте,Вывод,Размеры (Ø х L),Время заряда батареи,Вес (с блоком питания),Время работы блока питания,Ручка,Она универсальна,К машинке подойдут держатели,Тип подключения,Рекомендуемое рабочее напряжение,Максимальное напряжение,Вес всего комплекта,Частота Переключения,Кол-во оборотов,Размеры (Ø X L),Время работы Powerpack,Размеры(Ø X L),Тип машинки,"Длина хода, мм","Диаметр, мм","Размер, мм","Мощность двигателя, В",Оборотов в минуту,"Децибелы, дБ","Величина вибрации, м/с²","Рабочий вольтаж, В","Регулировка вольтажа, В","Емкость аккумулятора, мАч","Время работы, часов","Время зарядки, часов","Вес, г","Вес с аккумулятором, г",Питание,Провод для зарядки в комплекте,RCA переходник,"Частота переключения, Гц","Регулировка хода иглы, мм",Процент зарядки,Показание вольтажа,Сетевой шнур в комплекте,"Сила тока, А",Времени работы,Комплектация,Функция памяти,Start UP,"Рекомендуемый вольтаж, В",Авто выключение,Push Mode,"Мощность, В","Напряжение зарядки, В",source
832,,,,,,,,,,,,,,,,,,,Роторная тату машинка Skinductor Vertigo GO! Hard,15000,https://tatu-shop.ru/products/skinductor-go-hard,https://i.siteapi.org/Y8q4TX0fgVHnjbvFJJPhomZ4Xsc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/d40q5052c60cgc0gscs4s0s8kog4gk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
833,Роторная беспроводная,Универсальная,авиационный алюминий с защитным покрытием,EZ Customized Swiss - 12V/10800 об/мин,,,"0,1V",1800 mA/ч,,до 5 часов,USB Type—C,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",142 мм,32 мм,197 г,6 месяцев,EZ TATTOO,Беспроводная тату машинка EZ Portex Generation P2S Pro x 2 Power Silver,10480,https://tatu-shop.ru/products/ez-portex-p2s-pro-2-power-silver,https://i.siteapi.org/sa_EksHkaxAtv7_ZPBONHgBERWQ=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/d38z7ck9fn4s88o0sokogo0skogww0,,4-12 V,,,2 часа,полимерно-литиевый,,,,OLED Digital Display,,,,,,,,,,,,,,,,,,,,,,45 - 170 Hz,,,,,,,,,Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,5 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Функция памяти, авто-выключение",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
834,беспроводная роторная машинка,Универсальная,Авиационный алюминий,,,,"0,1V",,,до 7 часов,,4,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",175 мм,"33,5 мм",,,,"Беспроводная тату машинка Cobra Morandi 4,2 Stroke Black",9990,https://tatu-shop.ru/products/machine-morandi-cobra-black,https://i.siteapi.org/xYkNI4NY4Ik20ehte9KGeK-K7FA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/bxol5jefbpws48c0wkc0g804wgo8ks,Cobra Morandi,"4,7-13V",,,,,,Да,,Цветной OLED экран,,,,,,,,,,,,,Cobra Tattoo,Без сердечника Coreless motor  / 12000 оборотов,,,,,,,,,,,320 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Типоразмер 18500 с повышенным пусковым током,1800 мАч,,,,,,,,,,,,,,,,,,,,,,,,175 гр,210 гр,170x130x80 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
835,Роторная беспроводная,,авиационный алюминий,EZ Customized Motor,60-160 Гц,,"0,1V",1500 mA/ч,2-3 часа,5 часов,,,,,,171 г,6 месяцев,,Беспроводная тату машинка EZ Caster Wireless Gold,3850,https://tatu-shop.ru/products/ez--caster-wireless-gold,https://i.siteapi.org/cFjw1tNul096dFOpUFv4OjjS4d4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/f51rygdbly8ggc4c00k080c4ockso0,EZ Caster,5-12V,,"от 0 до 4,5 мм",,,,,,,,,,,,,,Универсальная,,USB Type—C,,,EZ Tattoo,,,,,,,,,,,,,,,30 х 120 мм,,,,,,,,,,,,,,,"3,5 мм",,,12 V/10000 об/мин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
836,,Универсальная,Алюминий,Швейцарский двигатель,,,,2000 mA/ч,"2-2,5 часа",от 7 до 9 часов,,,,141 мм,32 мм,227 г,6 месяцев,Hummingbird BRONC,Беспроводная роторная тату машинка - BRONC Wireless Pen V8 black,13790,https://tatu-shop.ru/products/bronc-wireless-v8-black,https://i.siteapi.org/-j53TKkJHVLTP2eIz9egBvyxtps=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/d5s96vfmk204kg0gsgk8g48c0cwg44,BRONC Wireless Pen V8,"4,5-11 V",4,"от 0 до 4,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
837,,Универсальная,,Тайвань,,4-10 V,,,,,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",114 мм,,155 гр,,,Роторная тату машинка Pen Hawk GSR-70 gold,3990,https://tatu-shop.ru/products/gsr-70--gold,https://i.siteapi.org/3vNEylhGx9CqLyiUKwGA9GIlYFI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/d6iyo4xkt28g0oc0s0c0k8okkwgcwk,Pen Hawk GSR-70,,,,,,,,,,,,,,,,,,,,,,Solong Tattoo,5W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10500 об/мин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
838,,,авиационный алюминий,Япония,,6 - 13 V,,,,,,,"0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,85 г,6 месяцев,,Роторная тату машинка Arena SMP PMU,9930,https://tatu-shop.ru/products/arena-smp,https://i.siteapi.org/3JotwcP4pigBBTjUEb8F8_a--Lk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ahdtraajwbkgco04ocgsksoo48cogs,,,,,,,,,,,,,,,,,Arena - DragonHawk,,,,,,,,12 V,,,,,,,,,,,,разъем RCA,20 x 112 мм,Чёрный,,,,,,,,,,,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
839,Роторная,Универсальная,авиационный алюминий,Япония,,4 - 10 V 11000 об/мин,,,,,,3,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,96 г,6 месяцев,,Роторная тату машинка AVA GT Mini Grey,5860,https://tatu-shop.ru/products/ava-gt-mini--grey,https://i.siteapi.org/wKHOWVn26p94dN-23EC5dZUd7Ak=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/r40a408lb9cwk4wococs0c8s44w84w,,,,,,,,,,,,,,,,,AVA TATTOO MACHINE,,,,,,,,,,,,,,,,,,,,разъем RCA,22 x 113 мм,Серый,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
840,Роторная беспроводная,,Авиационный алюминий,Brushless Motor M-core - Бесщеточный двигатель 12V/10000 об/мин,,,"0,1V",,"1,5 часа",до 8 часов,,,,147 мм,33 мм,,6 месяцев,,Беспроводная тату машинка MAST Archer 2 Max With Color Screen Bluetooth Black,11450,https://tatu-shop.ru/products/mast-archer-2-max-with-bluetooth-black,https://i.siteapi.org/ufE0besyNH7rVf8uMUPA5q0JYjs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qo2c4zonrzks8kk4sco0wswssgwgow,MAST Archer 2 Max,4-12V,,"от 0 до 4,5 мм",,,,,Да,Цветной OLED Digital Display,,,,,,,,Универсальная,,USB Type—C,,,MAST (DragonHawk),,,,,,,,,,,210 г,460 гр,255 x 125 x 65 мм,,,,,Да,,,,,7 цветовых режимов подсветки,,,,,,,"3,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 mA/ч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
841,ПЭН,Универсальная,,Тайвань,,,,,,,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,32 мм,110 г,,,Роторная тату машинка Dragon Small-x3 orange,1945,https://tatu-shop.ru/products/small-x3--orange,https://i.siteapi.org/HOqmoWZ79Qsp9e9wz1v08Q6DmGc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/m4r1k37vsyoko40kk880ggko4g88c4,Dragon Small-x3,,,,,,,,,,,,,,,,,,,,,,Yilong Tattoo Supply,,,,,,,,,,,,,,,,,,,5-9 V,,,,,,,86 мм,DC,3,Авиационный алюминий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
842,Роторная беспроводная,Универсальная,авиационный алюминий,AVA Motor Metal Brush DC motor - 10500 об/мин,,,"при коротком нажатии 0,1V при длительном нажатии 1V",,,,,,до 5 мм (регулировка вылета осуществляется выкручиванием держателя),133 мм,,,6 месяцев,,Беспроводная тату машинка AVA GT Pen GTS Adjustable Stroke 2.0-4.5mm Gray,19990,https://tatu-shop.ru/products/ava-gt-gts-gray,https://i.siteapi.org/tZ1MoxC3LFgqVtLmT3U7ZXQHMTo=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/bjfjtd8do5k4gswggkw04os40co4g8,,"4,5-12 V",,,2 часа,,,,,"Цветной HD экран Curved Glass (1,48 дюйма)",,,,,,,AVA TATTOO MACHINE,,,,,,,,,,6-8 часов,,,,,,,,1400 гр,,,,,от 2,,,,,,Два режима работы,,,,,,,,,,,,,,,,AVA GT Pen GTS,5W,,255 x 220 x 105 мм,,,38 мм,,,,,,,,,,,,,,,,,,,,,,260 гр,,,,,,,,3,1600 мАч,225 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
843,Роторная беспроводная,Перманентный макияж,авиационный алюминий с защитным покрытием,2W - 12000 об,,,,,,,USB Type-C,2,,150 мм,,135 г,1 год,DEFENDERR,Беспроводная машинка для татуажа - Defenderr FENIX Gunmetal,23950,https://tatu-shop.ru/products/fenix-gunmetal,https://i.siteapi.org/1mquaXSJQt_RPFmB9bQKQq0NxKI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/hcc857n1li8gss8gs80ggowgow88k4,,,,,"2,5 часа",полимерно-литиевый,,,,LED (цветной),,"0,1V",1600 мАч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 - 12V,,,,,,,,,,,,,,,,,,,,,,,,,,22 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,до 8 часов,,,,,,,,,,,,,,,,,,,,,,,,,,есть режим SMP,,,,,,,,,,,,,,,,,,,,,,,,,,3 режима,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
844,,,анодированный алюминий,,,,,,,до 5 часов,USB Type—C,,,,,52 г,,,Машинка для татуажа WTE Universal Princess 2024 Black & WTE Power Rca,36200,https://tatu-shop.ru/products/princess-pen-wte-2024-black-and-power,https://i.siteapi.org/7cB5IBeYN775UvdlqGPZLYmEv5E=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/t3q614mkmescs0sgo000k080gc8wgw,WTE POWER RCA,,,,,Li-ion,,,,,4-12 V,0,1300 мАч,Да,RCA,55мм х 28мм,WTE Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
845,,,авиационный алюминий,Япония 8V / 9000 об/мин,,5 - 8 В,,,,,,3,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,82 г,6 месяцев,,Роторная тату машинка Mast Tour Mini Red,6240,https://tatu-shop.ru/products/mast-tour-mini-red2,https://i.siteapi.org/NFMELVKMGWkIgabwCeN7NO5V95w=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/48gfgg37gow0k44gkcosk0ogsocwsg,,,,,,,,,,,,,,,,,DragonHawk,,,,,,,,,,,,,,,,,,,,разъем RCA,25 x 85 мм,Красный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Ватт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
846,Роторная беспроводная,,авиационный алюминий,Coreless Motor,60-160 Гц,6 - 9 V,"0,1V",1500 mA/ч,2 часа,5 часов,,,,,,200 г,6 месяцев,,Беспроводная тату машинка EZ Filter Freedom Silver,5180,https://tatu-shop.ru/products/tattoo-ez-filter-freedom-silver,https://i.siteapi.org/LvfrLLEjbZgID2p1cc1iAZbVVAg=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/bgtcglsd5gookcs8okcss484cskook,EZ Filter Freedom,5-12V,,"от 0 до 4,5 мм",,,,,,,,,,,,,,Универсальная,,USB Type—C,,,EZ Tattoo,,,,,,,,,,,,,,,32 х 145 мм,,,,,,,,,,,,,,,"3,5 мм",,,12 V/10000 об/мин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
847,Роторная беспроводная,Универсальная,Авиационный алюминий,Японский двигатель Mabuchi Motor 12V/12000 об,,,"0,1V",1500 mA/ч,2 часа,до 5 часов,,"3,5 мм",,129 мм,28 мм,176 г,,NB Needle Bee,Беспроводная тату машинка NB Needle Bee Wireless Tattoo Pen WR-35A,4840,https://tatu-shop.ru/products/nb-needle-bee-wr-35a,https://i.siteapi.org/NXGpZ_8TgDXN0VPkudYzYlZaQqY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/1zrea89kzetc44kk880co08gco8sgw,NB Needle Bee WR-35A,3-12V,,0-4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type—C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
848,Беспроводная роторная,Универсальная,Авиационный алюминий с защитным покрытием,Brushless Motor 12V-12000 об/мин,,,"0,1V",,,до 5 часов,USB Type—C,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,,,Yilong Tattoo,Беспроводная тату машинка Yilong KUSH Strokes 2.4-4.2mm Red,6990,https://tatu-shop.ru/products/kush--red,https://i.siteapi.org/V1-PnMUZZT_xS6TVa2vhvWskTu8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/54fd9bx12xwkkck8g84k0cc444w00s,Yilong KUSH,4-12 V,2,,2 часа,полимерно-литиевый,4 режима памяти вольтажа,да,Да,цветной OLED,,,1800 mA/ч,,,,,,,,,,,,,,,,,,,,,230 гр,330 гр,165 x 105 x 50 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
849,,"контур, покрас, тени",авиационный алюминий,Япония 9V - 10000 об/мин,,6-9 V,,,,,,,,,,154 гр,6 месяцев,DragonHawk,Роторная тату машинка Pen MAST SAI,7620,https://tatu-shop.ru/products/pen-mast--sai,https://i.siteapi.org/rvF_uV_kPfR7m9bUMEhmXsEvl7s=/fit-in/1024x768/center/top/a6596905b2ff451.ru.s.siteapi.org/img/9a5h6y04vfggsoks80sg80ogckgocs,,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29 x 120 мм,Чёрный,,,,,,,,,,,,,,,,,,,,,RCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,2 - 3,7 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
